server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773105656.5780761,42.319,40038253.73280362,40.03825373280362,148778838,2306,220107,220.107,1222,0,28427,0,18446744073709551615,2478435,1153,mycc
160.242.19.254:9208,1773105657.823578,43.564,29738556.209736843,29.738556209736842,153408766,2306,222237,222.237,612,0,29245,0,18446744073709551615,2734612,1153,mycc
160.242.19.254:9208,1773105658.949304,44.69,20210043.55706727,20.210043557067273,156252638,2306,219139,219.139,2155,5,29844,5,18446744073709551615,3694682,1153,mycc
213.158.175.240:5201,1773105662.7979367,1.168,6246495.536498192,6.246495536498192,912278,640,214649,214.649,875,0,0,0,18446744073709551615,2171056,2147483647,mycc
213.158.175.240:5201,1773105664.1279192,2.498,21687623.39706483,21.68762339706483,4517798,1,267278,267.278,1048,1,3,1055,18446744073709551615,2031458,1028,mycc
102.214.66.39:5201,1773105714.1075213,1.019,955596.6233040928,0.9555966233040928,121670,91,231228,231.228,17240,0,1,0,18446744073709551615,193320,2147483647,mycc
102.214.66.39:5201,1773105715.3334732,2.245,14702619.126162797,14.702619126162798,2374758,1649,309431,309.431,18,0,1,0,18446744073709551615,3827692,2147483647,mycc
102.214.66.39:5201,1773105741.1407228,28.052,822322.7338555082,0.8223227338555081,5027494,2287,263316,263.316,46280,1,97,1,18446744073709551615,28282,1143,mycc
102.214.66.19:5201,1773105810.4607985,1.228,943729.3138941491,0.9437293138941492,144838,107,307250,307.25,222,0,0,0,18446744073709551615,254349,2147483647,mycc
102.214.66.19:5201,1773105811.8128412,2.58,16767139.394984692,16.767139394984692,2978574,2068,412979,412.979,2570,0,0,0,18446744073709551615,3587644,2147483647,mycc
102.214.66.19:5201,1773105826.7423882,17.509,963681.4788243943,0.9636814788243943,4776990,2209,306492,306.492,5563,1,51,1,18446744073709551615,4726,1104,mycc
212.60.92.134:60001,1773105898.2276616,1.646,338087.1934655627,0.3380871934655627,69542,12,234731,234.731,19345,0,8,0,18446744073709551615,58636,6,mycc
212.60.92.134:60001,1773105900.1889224,3.607,543389.2332904293,0.5433892332904293,202758,16,224619,224.619,2310,1,29,1,18446744073709551615,92721,8,mycc
212.60.92.134:60001,1773105901.7009969,5.119,490303.893395563,0.490303893395563,295430,19,224181,224.181,2844,5,51,5,18446744073709551615,90753,9,mycc
