# iperf3 server list — sourced from https://iperf3serverlist.net/
# Format: host,port (port can be a range like 9201-9240)

# Africa

# Oceania
speedtest2.comvergence.com.au,5200-5209
143.244.63.144,5201
96.45.44.87,30000
speedtest.syd12.au.leaseweb.net,5201-5210
syd.proof.ovh.net,5201-5210
speedtest.lagoon.nc,5201-5210
akl.linetest.nz,5300-5309
chch.linetest.nz,5300-5309
154.81.51.4,5201
103.146.200.98,5201
