server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773172943.6952753,1.124,1381037.616251512,1.381037616251512,194070,66,306625,306.625,34,0,0,0,18446744073709551615,300736,2147483647,mycc
160.242.19.254:9208,1773172944.8125932,2.242,2094272.3361577648,2.094272336157765,486566,133,266022,266.022,3891,0,0,0,18446744073709551615,329423,2147483647,mycc
160.242.19.254:9208,1773172946.166366,3.595,21203816.7204915,21.2038167204915,4074710,1467,396198,396.198,2534,42,43,42,18446744073709551615,5248019,733,mycc
160.242.19.254:9208,1773172947.690681,5.12,30747494.893305637,30.747494893305635,9933318,1467,402489,402.489,5077,1,691,1,18446744073709551615,5365933,733,mycc
160.242.19.254:9208,1773172948.718233,6.147,31700783.94809305,31.70078394809305,14005094,1467,332431,332.431,13742,83,820,83,18446744073709551615,3475311,733,mycc
160.242.19.254:9208,1773172950.3076344,7.737,32148277.319508847,32.14827731950885,20392158,1467,220684,220.684,3483,136,1328,136,18446744073709551615,1489984,733,mycc
160.242.19.254:9208,1773172951.516661,8.946,30870825.14895746,30.87082514895746,25057614,1467,217448,217.448,675,123,2209,123,18446744073709551615,2991344,733,mycc
212.60.92.134:60001,1773172957.6281433,1.33,5462773.363346791,5.462773363346791,907934,306,204066,204.066,523,0,15,0,18446744073709551615,2173680,152,mycc
212.60.92.134:60001,1773172958.9292538,2.631,19533541.4491474,19.5335414491474,4084846,311,170744,170.744,924,0,124,0,18446744073709551615,2620982,154,mycc
212.60.92.134:60001,1773172960.100887,3.802,19487381.503967494,19.487381503967494,6938854,316,195939,195.939,3024,0,158,0,18446744073709551615,2257527,158,mycc
212.60.92.134:60001,1773172961.1447363,4.846,21939536.233705882,21.939536233705883,9801550,323,168154,168.154,469,0,158,0,18446744073709551615,2751543,158,mycc
212.60.92.134:60001,1773172962.2123523,5.914,21841741.13971307,21.841741139713072,12716374,329,171924,171.924,1547,0,158,0,18446744073709551615,2738860,158,mycc
212.60.92.134:60001,1773172963.2397165,6.941,22528360.22855191,22.52836022855191,15609478,335,168470,168.47,674,0,158,0,18446744073709551615,2807472,158,mycc
212.60.92.134:60001,1773172964.2862244,7.988,22193737.318158496,22.193737318158497,18512718,341,174911,174.911,1171,0,158,0,18446744073709551615,2882840,158,mycc
212.60.92.134:60001,1773172965.4710352,9.173,23113035.620411646,23.113035620411647,21935790,347,177648,177.648,1105,0,162,0,18446744073709551615,2750089,172,mycc
105.235.237.2:5205,1773172969.5393765,1.074,808990.0211576992,0.8089900211576991,108638,85,246825,246.825,1456,0,0,0,18446744073709551615,230328,2147483647,mycc
105.235.237.2:5205,1773172970.7539396,2.289,17863898.088358887,17.863898088358887,2820742,1638,378725,378.725,766,0,0,0,18446744073709551615,3726171,2147483647,mycc
105.235.237.2:5205,1773172972.5459058,4.081,12469842.344995264,12.469842344995264,5613934,1638,505784,505.784,63731,24,243,24,18446744073709551615,1374015,819,mycc
105.235.237.2:5205,1773172974.2541425,5.789,22195069.410295576,22.195069410295577,10353238,1638,473253,473.253,83496,85,876,85,18446744073709551615,685345,819,mycc
105.235.237.2:5205,1773172975.8808334,7.416,30329214.40377931,30.32921440377931,16520270,1638,332810,332.81,59070,136,1568,136,18446744073709551615,741024,819,mycc
105.235.237.2:5205,1773172977.500866,9.036,12789273.903176628,12.789273903176628,19110150,1638,566311,566.311,78197,8,2067,8,18446744073709551615,727183,819,mycc
speed.mymanga.pro:9215,1773172983.3528917,2.068,661203.4354632132,0.6612034354632133,170902,117,432075,432.075,186428,0,6,0,18446744073709551615,79404,2147483647,mycc
speed.mymanga.pro:9215,1773172984.3743358,3.089,3946600.7684729663,3.9466007684729663,674806,456,352458,352.458,4619,0,6,0,18446744073709551615,807854,2147483647,mycc
speed.mymanga.pro:9215,1773172987.0274398,5.742,14752350.082704548,14.752350082704547,5567246,1,509805,509.805,213449,0,52,0,18446744073709551615,30077,899,mycc
