server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
160.242.19.254:9208,1773104413.867186,1.496,890779.009392553,0.8907790093925531,166558,31,264925,264.925,2841,0,0,0,203323,141541,27,cubic
160.242.19.254:9208,1773104415.5443428,3.173,1471175.6029980788,1.4711756029980787,474982,42,302710,302.71,1098,0,0,0,241085,188700,27,cubic
160.242.19.254:9208,1773104416.9946816,4.623,1621381.1106473904,1.6213811106473903,768926,53,237353,237.353,14212,0,0,0,387998,105102,27,cubic
160.242.19.254:9208,1773104418.4127414,6.041,2818273.197656804,2.8182731976568043,1268486,95,301836,301.836,1261,0,0,0,546590,268839,27,cubic
160.242.19.254:9208,1773104419.6417751,7.27,4533564.8331990605,4.53356483319906,1964974,153,300092,300.092,831,0,0,0,885904,542951,27,cubic
160.242.19.254:9208,1773104420.9720197,8.601,7793815.1062775,7.7938151062775,3260934,240,298033,298.033,560,0,0,0,1399252,1036012,27,cubic
160.242.19.254:9208,1773104422.2025664,9.831,9592562.294866377,9.592562294866378,4736446,343,304182,304.182,456,0,0,0,1959342,577565,27,cubic
160.242.19.254:9208,1773104423.284454,10.913,16756785.04441172,16.75678504441172,7002566,464,221741,221.741,213,0,0,0,3635982,2633671,27,cubic
160.242.19.254:9208,1773104424.4653747,12.094,28074205.814499892,28.07420581449989,11146742,634,228231,228.231,771,0,0,0,4826854,3799472,27,cubic
160.242.19.254:9208,1773104425.721214,13.35,36868766.75719733,36.86876675719733,16934398,852,223737,223.737,598,0,0,0,6616847,5243417,27,cubic
160.242.19.254:9208,1773104427.01448,14.643,38900976.09075224,38.90097609075224,23223062,705,215749,215.749,1192,0,1,0,5677918,4603384,651,cubic
160.242.19.254:9208,1773104428.198984,15.828,39421658.45960876,39.421658459608764,29059950,789,227922,227.922,7644,0,1,0,6015055,4931901,651,cubic
160.242.19.254:9208,1773104429.2988493,16.928,41665373.30564796,41.66537330564796,34788238,845,230785,230.785,1306,0,1,0,6362066,5195258,651,cubic
160.242.19.254:9208,1773104430.4277365,18.056,36684622.574856974,36.684622574856974,39964838,631,214431,214.431,147,0,2,0,5113180,4139126,597,cubic
160.242.19.254:9208,1773104431.7397037,19.368,34973607.79417419,34.973607794174185,45700366,679,220521,220.521,700,0,2,0,5350192,4430480,597,cubic
160.242.19.254:9208,1773104433.00042,20.629,36413733.18027137,36.41373318027137,51438790,707,215905,215.905,566,0,2,0,5689918,4709172,597,cubic
160.242.19.254:9208,1773104434.1990576,21.828,38183674.84206427,38.18367484206427,57159838,720,222446,222.446,1286,0,2,0,5624144,4668658,597,cubic
160.242.19.254:9208,1773104435.4039474,23.033,38216275.86298602,38.21627586298602,62915638,725,217665,217.665,495,0,2,0,5787592,4807707,597,cubic
160.242.19.254:9208,1773104436.6077807,24.236,38057360.945963584,38.05736094596358,68642478,725,215612,215.612,321,0,2,0,5842693,4822714,597,cubic
160.242.19.254:9208,1773104437.8025513,25.431,38413908.893370114,38.41390889337011,74379454,726,216021,216.021,323,0,2,0,5839698,4776367,597,cubic
160.242.19.254:9208,1773104439.107977,26.737,35024628.33706253,35.02462833706253,80094710,731,234502,234.502,4938,0,2,0,5416517,3950211,597,cubic
160.242.19.254:9208,1773104440.313456,27.942,38072668.60522461,38.07266860522461,85831686,745,217503,217.503,681,0,2,0,5951690,4882871,597,cubic
160.242.19.254:9208,1773104441.4633298,29.092,39984299.718922146,39.984299718922145,91578798,771,230007,230.007,559,0,2,0,5824556,4799944,597,cubic
160.242.19.254:9208,1773104442.694747,30.323,33056365.21125791,33.056365211257905,96667070,601,224431,224.431,1235,0,3,0,4653082,3602276,544,cubic
160.242.19.254:9208,1773104443.7641947,31.393,32126996.212041717,32.12699621204172,100961838,667,225341,225.341,1781,0,3,0,5143215,4091254,544,cubic
